id,niche,naics,sector,why_boring,boring_score,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,n_tools_search_verified,n_tools_candidate_unverified,n_tools_public_price_url,fragmentation_score,max_headcount_bonus,provisional_evidence_score,ad_longevity_score,research_status,notes
56,Air duct & dryer vent cleaning,561790,56,"Quotes, route scheduling, NADCA paperwork",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (not searched: session WebSearch budget exhausted after 7 calls)
57,Backflow prevention testing companies,238220,23,"Annual test scheduling, water-purveyor report submission, gauge calibration",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (not searched: session WebSearch budget exhausted after 7 calls)
58,Fire extinguisher & fire alarm inspection companies,561621,56,"Tag/inspection cycles, AHJ reports, deficiency quotes",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (not searched: session WebSearch budget exhausted after 7 calls)
59,"Environmental testing labs (asbestos, lead, water)",541380,54,"Chain-of-custody, accreditation paperwork, report turnaround",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (not searched: session WebSearch budget exhausted after 7 calls)
60,Document shredding services,561990,56,"Route scheduling, certificates of destruction, bin tracking",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (not searched: session WebSearch budget exhausted after 7 calls)
61,Security guard companies,561612,56,"Post scheduling, guard licensing, incident reports, payroll",3,unverified,unverified,unverified,unverified,unverified,0,5,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
62,Locksmiths,561622,56,"Dispatch, key/code records, invoicing",3,unverified,unverified,unverified,unverified,unverified,0,3,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
63,Private investigators,561611,56,"Case files, surveillance logs, billing by hour",3,unverified,unverified,unverified,unverified,unverified,0,2,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
64,Court reporting agencies,561492,56,"Deposition scheduling, transcript production, invoicing",3,unverified,unverified,unverified,unverified,unverified,0,1,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
65,Process servers,541199,54,"Serve attempts, affidavits of service, court filing",3,unverified,unverified,unverified,unverified,unverified,0,2,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
66,Notaries & loan signing agents,541120,54,"Signing appointments, journals, invoicing signing services",3,unverified,unverified,unverified,unverified,unverified,0,3,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
67,Bail bond agencies,812990,81,"Court-date tracking, collateral records, state reporting",3,unverified,unverified,unverified,unverified,unverified,0,2,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
68,Translation & interpreting agencies,541930,54,"Job quoting, linguist scheduling, invoicing",3,unverified,unverified,unverified,unverified,unverified,0,5,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
69,Light-industrial staffing agencies,561320,56,"Shift filling, onboarding paperwork, timesheets, I-9/W-4",3,unverified,unverified,unverified,unverified,unverified,0,3,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
70,DOT / trucking compliance consultants,541618,54,"Driver qualification files, drug-testing programs, audits",3,unverified,unverified,unverified,unverified,unverified,0,4,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),WebSearch budget exhausted (200/200 session cap) before any batch07 search ran; no field verified
71,Bookkeeping practices,541219,54,"Monthly close, document chasing, client onboarding",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran; all direct fetches blocked by egress policy. No research performed.
72,Tax preparation offices,541213,54,"Seasonal intake, document collection, e-file",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
73,Medical billing companies,541219,54,"Claims scrubbing, denials follow-up, payer portals",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
74,Land surveyors,541370,54,"Plat filings, quotes, deed research",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
75,Real estate appraisers,531320,53,"Order intake, comps, USPAP report forms",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
76,Small residential property managers,531311,53,"Rent collection, maintenance dispatch, lease paperwork",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
77,Independent insurance agencies,524210,52,"Renewals, certificates of insurance, carrier portals",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
78,Mortgage brokers,522310,52,"Document collection, disclosures, lender submissions",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
79,Title & escrow agencies,541191,54,"Title search, closing scheduling, disbursement",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
80,Home energy auditors / HERS raters,541690,54,"Field data collection, modeling reports, utility rebate forms",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),BLOCKED: session WebSearch budget exhausted (200/200) before any batch08 search ran. No research performed.
81,Towing companies,488410,48,"Dispatch, impound lot paperwork, motor-club billing",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
82,Independent auto repair shops,811111,81,"Estimates, parts ordering, appointment scheduling",3,unverified,unverified,unverified,unverified,unverified,0,6,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
83,Auto body & collision repair shops,811121,81,"Insurance estimates, parts, cycle-time tracking",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
84,Mobile auto detailing,811192,81,"Booking, route scheduling, package quoting",3,unverified,unverified,unverified,unverified,unverified,0,4,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
85,Auto glass & windshield replacement,811122,81,"Insurance billing (Safelite network), part lookup, mobile scheduling",3,unverified,unverified,unverified,unverified,unverified,0,4,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
86,Independent tire shops,441320,44,"Tire lookup, appointment scheduling, TPMS/registration paperwork",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
87,Independent used car dealers,441120,44,"Title/DMV paperwork, BHPH collections, inventory listings",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
88,Car washes,811192,81,"Membership billing, chemical inventory, labor scheduling",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
89,Small engine & outdoor power equipment repair,811411,81,"Work orders, parts lookup, warranty claims to OEMs",3,unverified,unverified,unverified,unverified,unverified,0,4,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
90,Appliance repair,811412,81,"Dispatch, parts ordering, manufacturer warranty claims",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH RAN: session WebSearch budget exhausted (200/200) before batch09 started; all values unverified
91,Small fleet trucking companies (1-20 trucks),484121,48,"IFTA, ELD logs, driver files, load paperwork",3,unverified,unverified,unverified,unverified,unverified,0,5,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
92,Freight brokers,488510,48,"Load posting, carrier vetting, rate confirmations",2,unverified,unverified,unverified,unverified,unverified,0,5,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
93,Moving companies,484210,48,"Estimates by cubic feet, crew scheduling, bills of lading",3,unverified,unverified,unverified,unverified,unverified,0,5,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
94,Courier & last-mile delivery companies,492210,49,"Dispatch, proof of delivery, driver settlements",3,unverified,unverified,unverified,unverified,unverified,0,5,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
95,School bus contractors,485410,48,"Route planning, driver compliance, district contracts",3,unverified,unverified,unverified,unverified,unverified,0,5,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
96,Limo & black car operators,485320,48,"Reservations, driver dispatch, affiliate billing",3,unverified,unverified,unverified,unverified,unverified,0,5,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
97,Non-emergency medical transportation providers,485991,48,"Trip scheduling, Medicaid broker billing, driver credentialing",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
98,Charter bus operators,485510,48,"Quotes, driver hours-of-service, trip sheets",3,unverified,unverified,unverified,unverified,unverified,0,4,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
99,Customs brokers,488510,48,"Entry filing (ACE), classification, client documents",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
100,Small 3PL warehouses,493110,49,"Receiving, pick/pack, client billing by pallet",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified (no search run; 0 of 5 components could be evidenced),0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO SEARCH PERFORMED: session WebSearch budget was already exhausted (200/200) before this batch started; WebFetch/curl blocked by egress policy. Establishment count could not be looked up.
101,Motorcycle & powersports dealers,441228,44,"Unit inventory, F&I paperwork, service scheduling",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget was exhausted (200/200) before any batch 11 query ran; all fetch hosts blocked
102,Boat dealers & marinas,441222,44,"Slip billing, winterization scheduling, unit inventory",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
103,Trailer dealers,441229,44,"Title/registration paperwork, inventory, financing",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
104,Construction equipment rental yards,532412,53,"Rental contracts, availability, maintenance, damage billing",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
105,"Party & event rental companies (tents, bounce houses)",532289,53,"Quotes, inventory availability, delivery routing, deposits",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
106,Self-storage facilities,531130,53,"Move-ins, auto-pay, lien/auction notices",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
107,Laundromats,812310,81,"Machine uptime, wash-and-fold orders, cash/coin reconciliation",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
108,Dry cleaners,812320,81,"Garment tracking, tickets, route pickup/delivery",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
109,Independent hardware stores,444130,44,"Inventory, special orders, co-op paperwork",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
110,Garden centers & nurseries,444220,44,"Seasonal inventory, perishables, landscaper accounts",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 11 query ran
111,Florists,453110,45,"Order taking, wire-service fees, delivery routing",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
112,Independent jewelry stores,448310,44,"Repair tickets, appraisals, inventory memos",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
113,Pawn shops,522298,52,"Loan tickets, police reporting, state compliance",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
114,Gun shops / FFL dealers (compliance & bound book),451110,45,"ATF bound book, 4473 forms, NICS checks, audits",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
115,Liquor stores,445310,44,"Inventory, age-compliance, distributor orders",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
116,Independent pharmacies,446110,44,"Refill management, PBM reconciliation, DIR fees",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
117,Food trucks,722330,72,"Event booking, permits/commissary paperwork, catering quotes",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
118,Caterers,722320,72,"Proposals, BEOs, staffing, deposits",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
119,Retail bakeries,722515,72,"Custom order intake, production sheets, deposits",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
120,Vending machine operators,454210,45,"Route servicing, cash reconciliation, location contracts",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NOT RESEARCHED: session WebSearch budget exhausted (200/200) before batch 12 started; no fetch tools available. Re-run required.
121,Funeral homes,812210,81,"Case files, death certificates, price lists (FTC Funeral Rule)",3,unverified,unverified,unverified,unverified,unverified,0,4,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
122,Cemeteries & crematories,812220,81,"Plot records, cremation authorizations, state permits",3,unverified,unverified,unverified,unverified,unverified,0,4,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
123,Pet grooming salons & mobile groomers,812910,81,"Appointments, vaccination records, reminders",3,unverified,unverified,unverified,unverified,unverified,0,4,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
124,Pet boarding & daycare,812910,81,"Reservations, vaccination compliance, feeding/med charts",3,unverified,unverified,unverified,unverified,unverified,0,4,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
125,Dog training businesses,812910,81,"Class scheduling, packages, intake forms",3,unverified,unverified,unverified,unverified,unverified,0,3,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
126,Barber shops,812111,81,"Appointments, walk-in queue, chair rent",3,unverified,unverified,unverified,unverified,unverified,0,4,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
127,Hair salons,812112,81,"Appointments, retail, stylist commissions",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
128,Nail salons,812113,81,"Appointments, state board compliance, tips/payroll",3,unverified,unverified,unverified,unverified,unverified,0,4,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
129,Tattoo studios,812199,81,"Consults, consent/health forms, deposits",3,unverified,unverified,unverified,unverified,unverified,0,3,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
130,Massage therapy practices,812199,81,"Booking, SOAP notes, package tracking",3,unverified,unverified,unverified,unverified,unverified,0,5,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),NO RESEARCH PERFORMED: session WebSearch budget (200/200) exhausted by parallel agents before batch13's first query; WebFetch/curl blocked. All evidence fields unverified.
131,Veterinary clinics (independent),541940,54,"Appointments, records, reminders, inventory",2,unverified,unverified,unverified,unverified,unverified,0,7,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
132,Dental practices (independent),621210,62,"Scheduling, insurance verification, recall",2,unverified,unverified,unverified,unverified,unverified,0,7,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
133,Chiropractic offices,621310,62,"Scheduling, SOAP notes, insurance billing",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
134,Physical therapy clinics (independent),621340,62,"Authorizations, plan-of-care notes, billing",3,unverified,unverified,unverified,unverified,unverified,0,7,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
135,Optometry practices,621320,62,"Exams scheduling, vision-plan billing, optical inventory",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
136,Mental health private practices,621330,62,"Scheduling, notes, insurance claims, intake forms",3,unverified,unverified,unverified,unverified,unverified,0,7,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
137,Home health & non-medical home care agencies,621610,62,"Caregiver scheduling, EVV, timesheets, Medicaid billing",3,unverified,unverified,unverified,unverified,unverified,0,8,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
138,Adult day care centers,624120,62,"Attendance, transport, Medicaid billing, care plans",3,unverified,unverified,unverified,unverified,unverified,0,2,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
139,Small assisted living & group homes,623312,62,"Med logs, staffing, state survey paperwork",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
140,Durable medical equipment suppliers,446199,44,"Prior authorizations, Medicare documentation, deliveries",3,unverified,unverified,unverified,unverified,unverified,0,6,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No WebSearch calls could be executed for this batch (session search budget exhausted at 200/200 before batch 14 started). All counts pending re-run.
141,Child care centers & in-home daycares,624410,62,"Attendance, ratios, state licensing forms, tuition billing",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget was exhausted (200/200) before any batch 15 query ran; all direct fetch hosts blocked by egress policy
142,Dance studios,611610,61,"Class rosters, tuition, recital costumes",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
143,Martial arts schools,611620,61,"Memberships, belt testing, attendance",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
144,Swim schools,611620,61,"Level-based scheduling, make-ups, instructor ratios",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
145,Music schools & private music teachers,611610,61,"Lesson scheduling, make-ups, tuition",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
146,Driving schools,611692,61,"State-required hours logging, DMV forms, vehicle scheduling",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
147,CDL truck driving schools,611519,61,"ELDT registry reporting, DOT physicals, student tracking",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
